"filename", "language", "Java", "XML", "comment", "blank", "total"
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/pom.xml", "XML", 0, 172, 1, 1, 174
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/App.java", "Java", 42, 0, 171, 7, 220
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Guardian.java", "Java", 22, 0, 0, 7, 29
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/GuardianshipRelationship.java", "Java", 19, 0, 0, 5, 24
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Identifiable.java", "Java", 5, 0, 0, 3, 8
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Indexing/BinaryIndexTreeNode.java", "Java", 64, 0, 0, 10, 74
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Indexing/IndexTreeNode.java", "Java", 48, 0, 0, 9, 57
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Indexing/TreeNode.java", "Java", 12, 0, 0, 3, 15
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ManagedData.java", "Java", 28, 0, 0, 6, 34
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ManagedDataSource.java", "Java", 2, 0, 0, 2, 4
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/DataManager.java", "Java", 183, 0, 2, 18, 203
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/DataObserver.java", "Java", 4, 0, 0, 2, 6
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedBoolean.java", "Java", 19, 0, 0, 5, 24
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedDate.java", "Java", 20, 0, 0, 6, 26
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedDatum.java", "Java", 18, 0, 0, 4, 22
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedDouble.java", "Java", 19, 0, 0, 5, 24
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedGeneric.java", "Java", 23, 0, 0, 5, 28
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedLiveList.java", "Java", 52, 0, 0, 11, 63
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedLockedList.java", "Java", 35, 0, 0, 6, 41
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedString.java", "Java", 41, 0, 1, 10, 52
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedUUID.java", "Java", 24, 0, 0, 7, 31
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/ObservedData/ObservedUnlockedList.java", "Java", 28, 0, 0, 3, 31
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Person.java", "Java", 26, 0, 0, 7, 33
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Savable.java", "Java", 4, 0, 0, 2, 6
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Session.java", "Java", 33, 0, 0, 7, 40
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/SpreadsheetReader.java", "Java", 35, 0, 0, 15, 50
"/Users/twp/Library/CloudStorage/OneDrive-SaltLakeCitySchoolDistrict/12th Grade/CS HL2/IA/tutoring-message-manager/src/main/java/com/fariseducation/Data/Student.java", "Java", 11, 0, 0, 4, 15
